status,gene-symbol,gene-name,ensembl-id,chromosome,genetic-category,gene-score,syndromic,eagle,number-of-reports,UMLS_ID
9,ADCY3,adenylate cyclase 3,,2,Rare Single Gene Mutation,2.0,0,,4,C1412222
9,ADCY5,Adenylate cyclase 5,,3,Rare Single Gene Mutation,2.0,0,,13,C1412224
9,ADGRB1,adhesion G protein-coupled receptor B1,,8,Rare Single Gene Mutation,3.0,0,,10,C1332374
9,ADGRL1,adhesion G protein-coupled receptor L1,,19,"Rare Single Gene Mutation, Syndromic",3.0,1,,5,C1427215
9,ADK,adenosine kinase,,10,Rare Single Gene Mutation,2.0,0,,2,C1412243
9,ADNP,Activity-dependent neuroprotector homeobox,,20,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1,41.5,98,C1423715
9,ADORA3,Adenosine A3 receptor,,1,"Rare Single Gene Mutation, Functional",2.0,0,,4,C1412251
9,ADSL,adenylosuccinate lyase,,22,"Rare Single Gene Mutation, Syndromic",1.0,1,0.35,9,C1412262
9,ADSS2,adenylosuccinate synthase 2,,1,Rare Single Gene Mutation,2.0,0,,3,C1412263
9,AFF2,"AF4/FMR2 family, member 2",,X,"Rare Single Gene Mutation, Syndromic",1.0,0,8.7,24,C1826605
9,AGAP1,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1",,2,Rare Single Gene Mutation,2.0,0,,10,C1424637
9,AGAP2,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2",,12,Rare Single Gene Mutation,2.0,0,3.25,7,C1424636
9,AGAP5,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 5",,10,Rare Single Gene Mutation,3.0,0,,2,C1539153
9,AGBL4,ATP/GTP binding protein-like 4,,1,Rare Single Gene Mutation,2.0,0,,5,C1826610
9,AGMO,alkylglycerol monooxygenase,,7,"Rare Single Gene Mutation, Genetic Association",2.0,0,,8,C2240102
9,AGO1,"argonaute 1, RISC catalytic component",,1,Rare Single Gene Mutation,2.0,0,,19,C1414332
9,AGO2,argonaute RISC catalytic component 2,,8,"Rare Single Gene Mutation, Syndromic",2.0,1,,4,C1414333
9,AGO3,argonaute RISC catalytic component 3,,1,Rare Single Gene Mutation,2.0,0,,9,C1425508
9,AGO4,argonaute RISC catalytic component 4,,1,Rare Single Gene Mutation,2.0,0,,5,C1425509
9,AGTR2,"angiotensin II receptor, type 2",,X,Rare Single Gene Mutation,2.0,0,,6,C1332036
9,AHDC1,AT-hook DNA binding motif containing 1,,1,"Rare Single Gene Mutation, Syndromic",1.0,1,14.25,34,C1826617
9,AHI1,Abelson helper integration site 1,,6,"Rare Single Gene Mutation, Syndromic, Genetic Association",,1,,23,C1427622
9,AHNAK,AHNAKnucleoprotein,,11,Rare Single Gene Mutation,2.0,0,,7,C1412295
9,AKAP9,A kinase (PRKA) anchor protein 9,,7,Rare Single Gene Mutation,2.0,0,,10,C1332072
9,ALDH1A3,aldehyde dehydrogenase 1 family member A3,,15,"Rare Single Gene Mutation, Syndromic",,1,,7,C1412340
9,ALDH1L1,aldehyde dehydrogenase 1 family member L1,,3,Rare Single Gene Mutation,3.0,0,,7,C1538259
9,ALDH5A1,"aldehyde dehydrogenase 5 family, member A1 (succinate-semialdehyde dehydrogenase )",,6,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1,2.35,20,C1412339
9,ALG6,"ALG6, alpha-1,3-glucosyltransferase",,1,"Rare Single Gene Mutation, Syndromic",,1,,2,C1427953
9,AMPD1,Adenosine monophosphate deaminase 1,,1,"Rare Single Gene Mutation, Genetic Association",2.0,0,,5,C1412387
9,AMT,Aminomethyltransferase,,3,Rare Single Gene Mutation,2.0,0,,3,C1412390
9,ANK2,"Ankyrin 2, neuronal",,4,"Rare Single Gene Mutation, Functional",1.0,0,10.8,42,C1412403
9,ANK3,ankyrin 3,,10,"Rare Single Gene Mutation, Genetic Association, Functional",1.0,0,7.3,38,C1412404
9,ANKRD11,ankyrin repeat domain 11,,16,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1,22.6,86,C1427487
9,ANKRD17,ankyrin repeat domain 17,,4,"Rare Single Gene Mutation, Syndromic",2.0,1,,7,C1428138
9,ANKS1B,ankyrin repeat and sterile alpha motif domain containing 1B,,12,"Rare Single Gene Mutation, Syndromic, Functional",2.0,1,,8,C1823694
9,ANP32A,acidic nuclear phosphoprotein 32 family member A,,15,"Rare Single Gene Mutation, Functional",1.0,0,3.1,5,C1421894
9,ANXA1,Annexin A1,,9,Rare Single Gene Mutation,2.0,0,,2,C1412417
9,AP1S2,adaptor related protein complex 1 sigma 2 subunit,,X,"Rare Single Gene Mutation, Syndromic",,1,,8,C1412440
9,AP2M1,adaptor related protein complex 2 subunit mu 1,,3,Rare Single Gene Mutation,2.0,0,,10,C1412444
9,AP2S1,adaptor related protein complex 2 subunit sigma 1,,19,"Rare Single Gene Mutation, Functional",1.0,0,0.2,5,C1412445
9,APBA2,"amyloid beta (A4) precursor protein-binding, family A, member 2",,15,Rare Single Gene Mutation,2.0,0,,10,C1412457
9,APBB1,amyloid beta precursor protein binding family B member 1,,11,"Rare Single Gene Mutation, Functional",2.0,0,4.95,4,C1412459
9,APH1A,APH1A gamma secretase subunit,,1,Rare Single Gene Mutation,2.0,0,,3,C1538913
9,ADORA2A,adenosine A2a receptor,,22,Genetic Association,2.0,0,,7,C1412246
9,ADRB2,"adrenergic, beta-2-, receptor, surface",,5,Genetic Association,2.0,0,,10,C1367657
9,AR,androgen receptor,,X,"Rare Single Gene Mutation, Genetic Association, Functional",2.0,0,,10,C1367578
9,ARF3,ADP ribosylation factor 3,,12,"Rare Single Gene Mutation, Syndromic",1.0,0,1.25,5,C1412506
9,ARHGAP11B,Rho GTPase activating protein 11B,,15,Rare Single Gene Mutation,2.0,0,,4,C1538923
9,ARHGAP32,Rho GTPase activating protein 32,,11,"Rare Single Gene Mutation, Functional",2.0,0,,11,C1837895
9,ARHGAP5,Rho GTPase activating protein 5,,14,Rare Single Gene Mutation,2.0,0,,7,C1412522
9,ARHGEF10,Rho guanine nucleotide exchange factor 10,,8,"Rare Single Gene Mutation, Genetic Association, Functional",2.0,0,,8,C1422408
9,ARHGEF2,Rho/Rac guanine nucleotide exchange factor 2,,1,"Rare Single Gene Mutation, Syndromic",3.0,0,,8,C1412528
9,ARHGEF9,Cdc42 guanine nucleotide exchange factor (GEF) 9,,X,"Rare Single Gene Mutation, Syndromic",1.0,1,14.2,20,C1422758
9,ARID1A,AT-rich interaction domain 1A,,1,"Rare Single Gene Mutation, Syndromic, Functional",3.0,1,,9,C1420251
9,ARID1B,AT-rich interaction domain 1B,,6,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1,34.75,99,C1425260
9,ARID2,AT-rich interaction domain 2,,12,"Rare Single Gene Mutation, Syndromic",2.0,1,,21,C1425257
9,ARHGAP30,Rho GTPase activating protein 30,,1,Rare Single Gene Mutation,3.0,0,,3,C1824199
9,ARNT2,aryl-hydrocarbon receptor nuclear translocator 2,,15,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",2.0,0,,15,C1332115
9,ARX,aristaless related homeobox,,X,"Rare Single Gene Mutation, Syndromic",1.0,1,13.8,28,C1425272
9,ASAP2,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",,2,Rare Single Gene Mutation,2.0,0,,5,C1413945
9,ASB11,ankyrin repeat and SOCS box containing 11,,X,"Rare Single Gene Mutation, Genetic Association, Functional",3.0,0,0.0,5,C1424807
9,ASB14,ankyrin repeat and SOCS box containing 14,,3,Rare Single Gene Mutation,2.0,0,,5,C1426395
9,ASH1L,"Ash1 (absent, small, or homeotic)-like (Drosophila)",,1,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,0,14.15,46,C1426004
9,ASMT,acetylserotonin O-methyltransferase,,"X,Y","Rare Single Gene Mutation, Genetic Association",2.0,0,,11,C1412585
9,ASPM,abnormal spindle microtubule assembly,,1,"Rare Single Gene Mutation, Syndromic, Functional",2.0,0,,15,C1425978
9,ASTN2,astrotactin 2,,9,"Rare Single Gene Mutation, Genetic Association, Functional",2.0,0,2.5,25,C1424691
9,ASXL3,Additional sex combs like 3 (Drosophila),,18,"Rare Single Gene Mutation, Syndromic",1.0,1,28.85,62,C2239906
9,ATP10A,Probable phospholipid-transporting ATPase VA,,15,"Rare Single Gene Mutation, Genetic Association, Functional",2.0,0,,10,C1422052
9,ATP1A1,ATPase Na+/K+ transporting subunit alpha 1,,1,"Rare Single Gene Mutation, Syndromic",2.0,1,,10,C1412628
9,ATP1A3,ATPase Na+/K+ transporting subunit alpha 3,,19,"Rare Single Gene Mutation, Syndromic, Functional",2.0,1,,27,C1412630
9,ATP2B1,ATPase plasma membrane Ca2+ transporting 1,,12,"Rare Single Gene Mutation, Syndromic",3.0,1,,3,C1412640
9,ATP2B2,"ATPase, Ca++ transporting, plasma membrane 2",,3,"Rare Single Gene Mutation, Genetic Association",2.0,0,,18,C1412641
9,ATP6V0A2,ATPase H+ transporting V0 subunit a2,,12,Rare Single Gene Mutation,2.0,0,,5,C1425544
9,ATP9A,ATPase phospholipid transporting 9A,,20,"Rare Single Gene Mutation, Syndromic",3.0,1,,6,C1422050
9,ATRX,alpha thalassemia/mental retardation syndrome X-linked,,X,"Rare Single Gene Mutation, Syndromic, Functional",1.0,0,9.25,40,C1412697
9,ATXN2,ataxin 2,,12,Rare Single Gene Mutation,3.0,0,,3,C1538299
9,AUTS2,activator of transcription and developmental regulatorÂ AUTS2,,7,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,0,35.5,79,C1422523
9,AVPR1A,arginine vasopressin receptor 1A,,12,"Rare Single Gene Mutation, Genetic Association, Functional",2.0,0,,26,C1332122
9,AZGP1,"alpha-2-glycoprotein 1, zinc-binding",,7,Rare Single Gene Mutation,2.0,0,,4,C1412706
9,BACE1,beta-secretase 1,,11,"Rare Single Gene Mutation, Functional",3.0,0,,4,C1412727
9,BAIAP2L1,BAR/IMD domain containing adaptor protein 2 like 1,,7,Rare Single Gene Mutation,3.0,0,,6,C1538314
9,BAZ2B,bromodomain adjacent to zinc finger domain 2B,,2,Rare Single Gene Mutation,1.0,0,7.35,9,C1412744
9,BBS4,Bardet-Biedl syndrome 4,,15,"Rare Single Gene Mutation, Syndromic",2.0,0,,6,C1412749
9,BCAS1,breast carcinoma amplified sequence 1,,20,Rare Single Gene Mutation,2.0,0,,5,C1332387
9,BCKDK,Branched chain ketoacid dehydrogenase kinase,,16,Rare Single Gene Mutation,1.0,0,3.1,10,C1538319
9,BCL11A,B-cell CLL/lymphoma 11A (zinc finger protein),,2,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,1,9.15,34,C1421886
9,BCL11B,BCL11 transcription factor B,,14,"Rare Single Gene Mutation, Syndromic, Functional",3.0,0,,11,C1421887
9,BCORL1,BCL6 corepressor like 1,,X,"Rare Single Gene Mutation, Syndromic",,1,,10,C1538320
9,BICRA,BRD4 interacting chromatin remodeling complex associated protein,,19,"Rare Single Gene Mutation, Syndromic",2.0,1,,5,C1333679
9,BIRC6,Baculoviral IAP repeat containing 6,,2,Rare Single Gene Mutation,2.0,0,,16,C1332417
9,BRAF,v-raf murine sarcoma viral oncogene homolog B,,7,"Rare Single Gene Mutation, Syndromic",1.0,1,13.05,23,C0812241
9,BRCA2,"breast cancer 2, early onset",,13,Rare Single Gene Mutation,2.0,0,,10,C0598034
9,BRD4,bromodomain containing 4,,19,"Rare Single Gene Mutation, Syndromic, Functional",2.0,0,,13,C1422073
9,BRINP3,BMP/retinoic acid inducible neural specific 3,,1,"Rare Single Gene Mutation, Genetic Association, Functional",3.0,0,,4,C1539388
9,BRSK2,BR serine/threonine kinase 2,,11,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1,7.7,16,C1538964
9,BRWD3,bromodomain and WD repeat domain containing 3,,X,"Rare Single Gene Mutation, Syndromic",,1,,10,C1538965
9,BSN,bassoon presynaptic cytomatrix protein,,3,"Rare Single Gene Mutation, Genetic Association, Functional",3.0,0,,12,C1412829
9,BST1,bone marrow stromal cell antigen 1,,4,"Rare Single Gene Mutation, Genetic Association, Functional",2.0,0,,6,C1412830
9,BTAF1,"RNA polymerase II, B-TFIID transcription factor-associated, 170kDa (Mot1 homolog, S. cerevisiae)",,10,Rare Single Gene Mutation,2.0,0,,9,C1332452
9,BTRC,beta-transducin repeat containing E3 ubiquitin protein ligase,,10,Rare Single Gene Mutation,2.0,0,,4,C1412851
9,C12orf57,Chromosome 12 open reading frame 57,,12,"Rare Single Gene Mutation, Syndromic",,1,,17,C1824378
9,C15orf62,chromosome 15 open reading frame 62,,15,Rare Single Gene Mutation,2.0,0,,3,C2681292
9,C4B,complement component 4B,,6,"Rare Single Gene Mutation, Genetic Association, Functional",2.0,0,,6,C1413000
9,CA6,carbonic anhydrase VI,,1,Rare Single Gene Mutation,2.0,0,,7,C1413049
9,CACNA1A,"Calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",,19,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,1,,50,C1456413
9,ASB9,ankyrin repeat and SOCS box containing 9,,X,Genetic Association,3.0,0,0.1,1,C1424805
9,AVPR1B,arginine vasopressin receptor 1B,,1,"Genetic Association, Functional",2.0,0,,9,C1332123
9,BICDL1,BICD family like cargo adaptor 1,,12,Genetic Association,2.0,0,,2,C1824588
9,CACNA1B,calcium voltage-gated channel subunit alpha1 B,,9,"Rare Single Gene Mutation, Syndromic, Genetic Association",2.0,0,,14,C1413056
9,CACNA1C,"calcium channel, voltage-dependent, L type, alpha 1C subunit",,12,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,1,,67,C1413057
9,CACNA1D,"calcium channel, voltage-dependent, L type, alpha 1D",,3,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",2.0,0,12.7,34,C1413058
9,CACNA1E,calcium voltage-gated channel subunit alpha1 E,,1,Rare Single Gene Mutation,1.0,0,7.5,25,C1413059
9,CACNA1F,"calcium channel, voltage-dependent, alpha 1F",,X,"Rare Single Gene Mutation, Genetic Association",2.0,0,,11,C1413060
9,CACNA1G,"calcium channel, voltage-dependent, T type, alpha 1G subunit",,17,"Rare Single Gene Mutation, Syndromic, Genetic Association",2.0,0,,31,C1413061
9,CACNA1H,"calcium channel, voltage-dependent, alpha 1H subunit",,16,Rare Single Gene Mutation,2.0,0,,37,C1413062
9,CACNA1I,"Calcium channel, voltage-dependent, T type, alpha 1I subunit",,22,"Rare Single Gene Mutation, Genetic Association",2.0,0,,12,C1413063
9,CACNA2D1,calcium voltage-gated channel auxiliary subunit alpha2delta 1,,7,"Rare Single Gene Mutation, Syndromic",2.0,0,,10,C1413065
9,CACNA2D3,"Calcium channel, voltage-dependent, alpha 2/delta subunit 3",,3,"Rare Single Gene Mutation, Functional",1.0,0,3.75,17,C1423504
9,CACNB1,calcium voltage-gated channel auxiliary subunit beta 1,,17,Rare Single Gene Mutation,3.0,0,,3,C1413067
9,CACNB2,"Calcium channel, voltage-dependent, beta 2 subunit",,10,"Rare Single Gene Mutation, Genetic Association, Functional",2.0,0,,12,C1413068
9,CACNG2,calcium voltage-gated channel auxiliary subunit gamma 2,,22,Rare Single Gene Mutation,2.0,0,,6,C1413072
9,CADM1,cell adhesion molecule 1,,11,Rare Single Gene Mutation,2.0,0,,10,C1416373
9,CADM2,Cell adhesion molecule 2,,3,"Rare Single Gene Mutation, Genetic Association",2.0,0,,7,C1428899
9,CADPS,calcium dependent secretion activator,,3,"Rare Single Gene Mutation, Genetic Association",2.0,0,,5,C1413079
9,CADPS2,Ca2+-dependent activator protein for secretion 2,,7,"Rare Single Gene Mutation, Functional",2.0,0,,13,C1423913
9,CAMK2A,calcium/calmodulin dependent protein kinase II alpha,,5,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,1,,15,C1413099
9,CAMK2B,calcium/calmodulin dependent protein kinase II beta,,7,"Rare Single Gene Mutation, Syndromic",,1,,14,C1413100
9,CAMK2D,calcium/calmodulin dependent protein kinase II delta,,4,"Rare Single Gene Mutation, Syndromic",3.0,1,,4,C1413101
9,CAMK4,calcium/calmodulin dependent protein kinase IV,,5,"Rare Single Gene Mutation, Genetic Association",2.0,0,,6,C1413103
9,CAMTA2,calmodulin binding transcription activator 2,,17,"Rare Single Gene Mutation, Syndromic",1.0,0,2.1,3,C1425791
9,CAPN12,Calpain 12,,19,Rare Single Gene Mutation,2.0,0,,8,C1421904
9,CAPRIN1,Cell cycle associated protein 1,,11,"Rare Single Gene Mutation, Syndromic, Functional",1.0,0,5.5,7,C1825397
9,CARD11,caspase recruitment domain family member 11,,7,Rare Single Gene Mutation,2.0,0,,2,C1424244
9,CASK,calcium/calmodulin dependent serine protein kinase,,X,"Rare Single Gene Mutation, Syndromic, Functional",1.0,0,,31,C1413128
9,CASKIN1,CASK interacting protein 1,,16,"Rare Single Gene Mutation, Functional",2.0,0,,9,C1427185
9,CASZ1,castor zinc finger 1,,1,Rare Single Gene Mutation,1.0,0,9.55,10,C1824533
9,CAT,catalase,,11,"Rare Single Gene Mutation, Functional",3.0,0,,4,C1413138
9,CBX1,chromobox 1,,17,"Rare Single Gene Mutation, Syndromic",3.0,1,,3,C1413156
9,CC2D1A,Coiled-coil and C2 domain containing 1A,,19,"Rare Single Gene Mutation, Functional",2.0,0,,21,C1824539
9,CCDC88C,Coiled-coil domain containing 88C,,14,Rare Single Gene Mutation,2.0,0,,10,C1426569
9,CCDC91,coiled-coil domain containing 91,,12,Rare Single Gene Mutation,2.0,0,,6,C1824618
9,CCIN,calicin,,9,Rare Single Gene Mutation,2.0,0,,2,C1413166
9,CCNG1,cyclin G1,,5,Rare Single Gene Mutation,2.0,0,,2,C1413179
9,CCNK,cyclin K,,14,"Rare Single Gene Mutation, Syndromic",,1,,7,C1413183
9,CCSER1,coiled-coil serine rich protein 1,,4,Rare Single Gene Mutation,2.0,0,,4,C2829370
9,CCT4,"Chaperonin containing TCP1, subunit 4 (delta)",,2,Rare Single Gene Mutation,2.0,0,,3,C1413196
9,CD276,CD276molecule,,15,Rare Single Gene Mutation,2.0,0,,4,C1540293
9,CD38,CD38 molecule,,4,"Rare Single Gene Mutation, Genetic Association, Functional",2.0,0,,10,C0075742
9,CDC42BPB,CDC42 binding protein kinase beta (DMPK-like),,14,"Rare Single Gene Mutation, Syndromic",2.0,0,,13,C1413265
9,CDH10,"cadherin 10, type 2 (T2-cadherin)",,5,"Rare Single Gene Mutation, Genetic Association",2.0,0,,11,C1413268
9,CDH11,cadherin 11,,16,"Rare Single Gene Mutation, Syndromic, Functional",2.0,0,,9,C1413269
9,CDH13,cadherin 13,,16,Rare Single Gene Mutation,2.0,0,,6,C1332728
9,CDH2,cadherin 2,,18,"Rare Single Gene Mutation, Syndromic",3.0,1,,8,C1413277
9,CDH22,cadherin-like 22,,20,"Rare Single Gene Mutation, Genetic Association",2.0,0,,7,C1421905
9,CDH8,"cadherin 8, type 2",,16,Rare Single Gene Mutation,2.0,0,,13,C1413282
9,CDH9,"cadherin 9, type 2 (T1-cadherin)",,5,"Rare Single Gene Mutation, Genetic Association",2.0,0,,7,C1413283
9,CAPZA2,capping actin protein of muscle Z-line subunit alpha 2,,7,Rare Single Gene Mutation,3.0,0,,3,C1413123
9,CBX4,chromobox 4,,17,Rare Single Gene Mutation,3.0,0,,3,C1413159
9,CDK13,cyclin dependent kinase 13,,7,"Rare Single Gene Mutation, Syndromic",,1,,26,C1413262
9,CDK16,cyclin dependent kinase 16,,X,Rare Single Gene Mutation,2.0,0,,3,C1335197
9,CDK19,cyclin dependent kinase 19,,6,"Rare Single Gene Mutation, Syndromic",3.0,1,,7,C1540298
9,CDK5RAP2,CDK5 regulatory subunit associated protein 2,,9,"Rare Single Gene Mutation, Syndromic",3.0,0,,14,C1425696
9,CDK8,cyclin dependent kinase 8,,13,"Rare Single Gene Mutation, Syndromic",,1,,5,C1413289
9,CDKL5,cyclin-dependent kinase-like 5,,X,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1,,67,C1420484
9,CDON,"cell adhesion associated, oncogene regulated",,11,Rare Single Gene Mutation,3.0,0,,4,C1332740
9,CECR2,"CECR2, histone acetyl-lysine reader",,22,Rare Single Gene Mutation,2.0,0,,3,C1413328
9,CELF2,CUGBP Elav-like family member 2,,10,"Rare Single Gene Mutation, Syndromic, Functional",2.0,1,,5,C1413825
9,CELF4,"CUGBP, Elav-like family member 4",,18,"Rare Single Gene Mutation, Functional",1.0,0,8.5,16,C1422349
9,CELF6,"CUGBP, Elav-like family member 6",,15,"Rare Single Gene Mutation, Genetic Association",2.0,0,,5,C1422382
9,CEP135,centrosomal protein 135,,4,"Rare Single Gene Mutation, Syndromic",2.0,0,,9,C1824718
9,CEP290,Centrosomal protein 290kDa,,12,"Rare Single Gene Mutation, Syndromic",2.0,1,,15,C1824725
9,CEP41,"testis specific, 14",,7,"Rare Single Gene Mutation, Syndromic",2.0,0,,8,C1421198
9,CERT1,ceramide transporter 1,,5,"Rare Single Gene Mutation, Syndromic",3.0,1,,8,C1413584
9,CGNL1,Cingulin-like 1,,15,Rare Single Gene Mutation,2.0,0,,8,C1538448
9,CHAMP1,chromosome alignment maintaining phosphoprotein 1,,13,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1,,20,C2681145
9,CHD1,chromodomain helicase DNA binding protein 1,,5,"Rare Single Gene Mutation, Syndromic",2.0,1,,14,C1413379
9,CHD2,Chromodomain helicase DNA binding protein 2,,15,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1,25.0,92,C1413381
9,CHD3,chromodomain helicase DNA binding protein 3,,17,"Rare Single Gene Mutation, Syndromic",1.0,1,,26,C1413382
9,CHD4,chromodomain helicase DNA binding protein 4,,12,"Rare Single Gene Mutation, Syndromic, Functional",3.0,1,,8,C1413383
9,CHD7,chromodomain helicase DNA binding protein 7,,8,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1,8.1,54,C1427038
9,CHD8,chromodomain helicase DNA binding protein 8,,14,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1,97.65,132,C1538450
9,CD99L2,CD99 molecule like 2,,X,Genetic Association,2.0,0,,1,C1425388
9,CHD9,chromodomain helicase DNA binding protein 9,,16,Rare Single Gene Mutation,3.0,0,,8,C1538451
9,CHKB,Choline kinase beta,,22,"Rare Single Gene Mutation, Syndromic",,1,,11,C1538453
9,CHM,CHMRab escort protein,,X,Rare Single Gene Mutation,3.0,0,,8,C1413394
9,CHMP1A,charged multivesicular body protein 1A,,16,"Rare Single Gene Mutation, Syndromic",2.0,0,,5,C1418385
9,CHRM3,cholinergic receptor muscarinic 3,,1,"Rare Single Gene Mutation, Genetic Association",2.0,0,,7,C1332759
9,CHRNA7,"cholinergic receptor, nicotinic, alpha 7",,15,Rare Single Gene Mutation,2.0,0,,17,C1413406
9,CHRNB3,cholinergic receptor nicotinic beta 3 subunit,,8,Rare Single Gene Mutation,2.0,0,,3,C1413409
9,CHST2,carbohydrate sulfotransferase 2,,3,Rare Single Gene Mutation,3.0,0,,3,C1413415
9,CIB2,Calcium and integrin binding family member 2,,15,Rare Single Gene Mutation,2.0,0,,2,C1538465
9,CIC,capicua transcriptional repressor,,19,"Rare Single Gene Mutation, Syndromic, Functional",1.0,0,18.7,18,C1422489
9,CLASP1,cytoplasmic linker associated protein 1,,2,Rare Single Gene Mutation,2.0,0,,4,C1424735
9,CLCN4,chloride voltage-gated channel 4,,X,"Rare Single Gene Mutation, Syndromic, Functional",2.0,1,,17,C1413453
9,CLIP2,CAP-Gly domain containing linker protein 2,,7,"Rare Single Gene Mutation, Genetic Association",3.0,0,,2,C1824747
9,CLN8,"Ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)",,8,"Rare Single Gene Mutation, Syndromic",2.0,0,,6,C1413500
9,CLTC,clathrin heavy chain,,17,Rare Single Gene Mutation,3.0,0,,6,C1413512
9,CLTCL1,"clathrin, heavy chain-like 1",,22,Rare Single Gene Mutation,2.0,0,,8,C1413513
9,CMIP,c-Maf inducing protein,,16,"Rare Single Gene Mutation, Genetic Association",2.0,0,,7,C1864692
9,CMPK2,cytidine/uridine monophosphate kinase 2,,2,Rare Single Gene Mutation,2.0,0,,4,C2239305
9,CNGB3,cyclic nucleotide gated channel beta 3,,8,Rare Single Gene Mutation,2.0,0,,7,C1413548
9,CNKSR2,connector enhancer of kinase suppressor of Ras 2,,X,"Rare Single Gene Mutation, Syndromic, Functional",2.0,1,,18,C1539114
9,CNOT1,CCR4-NOT transcription complex subunit 1,,16,"Rare Single Gene Mutation, Syndromic",2.0,1,,13,C1417763
9,CNOT3,CCR4-NOT transcription complex subunit 3,,19,"Rare Single Gene Mutation, Syndromic",1.0,1,5.6,25,C1417765
9,CNR1,cannabinoid receptor 1 (brain),,6,"Rare Single Gene Mutation, Genetic Association",2.0,0,,8,C1413554
9,CNTN3,contactin 3,,3,Rare Single Gene Mutation,2.0,0,,6,C1413561
9,CNTN4,contactin 4,,3,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",2.0,0,,31,C1413562
9,CNTN5,Contactin 5,,11,"Rare Single Gene Mutation, Genetic Association",2.0,0,,11,C1413563
9,CNTN6,Contactin 6,,3,"Rare Single Gene Mutation, Genetic Association",2.0,0,13.8,18,C1413564
9,CNTNAP2,contactin associated protein-like 2,,7,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",2.0,1,,107,C1422223
9,CNTNAP3,contactin associated protein-like 3,,9,"Rare Single Gene Mutation, Functional",2.0,0,,7,C1539117
9,CNTNAP4,Contactin associated protein-like 4,,16,"Rare Single Gene Mutation, Functional",2.0,0,,16,C1539118
9,CNTNAP5,contactin associated protein-like 5,,2,"Rare Single Gene Mutation, Genetic Association",2.0,0,,16,C1539119
